Prices (USD/bbl),Date (CDT),Time (CDT)
72.77,2021-08-02,19:10:59
72.79,2021-08-02,19:16:01
72.88,2021-08-02,19:20:59
72.96,2021-08-02,19:26:01
73.15,2021-08-02,19:31:01
73.1,2021-08-02,19:35:52
73.13,2021-08-02,19:41:01
73.07,2021-08-02,19:46:01
73.09,2021-08-02,19:51:02
73.03,2021-08-02,19:55:55
73.21,2021-08-02,20:01:01
73.3,2021-08-02,20:06:01
73.17,2021-08-02,20:11:01
73.29,2021-08-02,20:16:01
73.33,2021-08-02,20:20:59
73.2,2021-08-02,20:26:01
73.23,2021-08-02,20:31:01
73.29,2021-08-02,20:36:01
73.22,2021-08-02,20:41:01
73.29,2021-08-02,20:46:00
73.17,2021-08-02,20:51:01
73,2021-08-02,20:56:01
73.06,2021-08-02,21:01:02
72.76,2021-08-02,21:06:01
72.99,2021-08-02,21:11:01
72.83,2021-08-02,21:16:01
72.8,2021-08-02,21:21:01
72.74,2021-08-02,21:26:01
72.5,2021-08-02,21:31:01
72.61,2021-08-02,21:36:01
72.41,2021-08-02,21:41:00
72.1,2021-08-02,21:46:00
72.08,2021-08-02,21:51:01
71.47,2021-08-02,21:56:02
71.44,2021-08-02,22:01:01
71.36,2021-08-02,22:06:01
71.18,2021-08-02,22:11:01
71.31,2021-08-02,22:16:01
71.11,2021-08-02,22:21:01
71.24,2021-08-02,22:26:01
71.25,2021-08-02,22:31:01
71.29,2021-08-02,22:36:01
71.08,2021-08-02,22:41:01
71.19,2021-08-02,22:46:01
71.06,2021-08-02,22:51:00
70.78,2021-08-02,22:56:02
70.68,2021-08-02,23:01:01
70.79,2021-08-02,23:06:01
70.96,2021-08-02,23:11:01
71.18,2021-08-02,23:16:01
71.19,2021-08-02,23:21:01
70.99,2021-08-02,23:26:02
71.01,2021-08-02,23:31:02
70.89,2021-08-02,23:36:00
70.94,2021-08-02,23:41:01
70.93,2021-08-02,23:46:01
70.78,2021-08-02,23:51:00
71.03,2021-08-02,23:56:00
71.15,2021-08-03,00:01:01
70.96,2021-08-03,00:05:59
70.99,2021-08-03,00:11:00
71.15,2021-08-03,00:16:01
71.18,2021-08-03,00:21:01
71.2,2021-08-03,00:26:01
71.3,2021-08-03,00:31:01
71.19,2021-08-03,00:36:00
71.15,2021-08-03,00:41:01
71.18,2021-08-03,00:46:01
71.17,2021-08-03,00:51:01
71.11,2021-08-03,00:56:01
71.12,2021-08-03,01:01:00
71.18,2021-08-03,01:06:01
71.1,2021-08-03,01:11:00
71.11,2021-08-03,01:16:00
71.13,2021-08-03,01:21:01
71.21,2021-08-03,01:26:01
71.29,2021-08-03,01:31:00
71.23,2021-08-03,01:35:57
71.19,2021-08-03,01:40:57
71.13,2021-08-03,01:46:01
71.17,2021-08-03,01:51:01
71.25,2021-08-03,01:55:59
71.25,2021-08-03,02:00:55
71.28,2021-08-03,02:06:01
71.23,2021-08-03,02:10:55
71.29,2021-08-03,02:16:00
71.29,2021-08-03,02:21:00
71.29,2021-08-03,02:26:01
71.32,2021-08-03,02:31:01
71.36,2021-08-03,02:35:57
71.38,2021-08-03,02:41:00
71.4,2021-08-03,02:46:01
71.42,2021-08-03,02:51:01
71.4,2021-08-03,02:55:57
71.4,2021-08-03,03:00:59
71.43,2021-08-03,03:05:52
71.42,2021-08-03,03:11:01
71.44,2021-08-03,03:15:51
71.44,2021-08-03,03:20:58
71.47,2021-08-03,03:25:43
71.49,2021-08-03,03:31:00
71.49,2021-08-03,03:36:01
71.5,2021-08-03,03:40:59
71.49,2021-08-03,03:46:00
71.45,2021-08-03,03:51:00
71.49,2021-08-03,03:56:00
71.26,2021-08-03,04:04:00
71.64,2021-08-03,05:00:01
71.55,2021-08-03,05:01:01
71.55,2021-08-03,05:05:59
71.56,2021-08-03,05:11:01
71.54,2021-08-03,05:15:59
71.55,2021-08-03,05:20:56
71.56,2021-08-03,05:26:00
71.55,2021-08-03,05:30:58
71.5,2021-08-03,05:35:58
71.49,2021-08-03,05:40:59
71.51,2021-08-03,05:45:56
71.51,2021-08-03,05:50:33
71.5,2021-08-03,05:55:57
71.45,2021-08-03,06:00:56
71.44,2021-08-03,06:05:59
71.48,2021-08-03,06:10:52
71.48,2021-08-03,06:15:24
71.48,2021-08-03,06:20:54
71.49,2021-08-03,06:25:35
71.46,2021-08-03,06:30:59
71.48,2021-08-03,06:35:59
71.46,2021-08-03,06:40:52
71.45,2021-08-03,06:45:52
71.44,2021-08-03,06:50:53
71.47,2021-08-03,06:55:59
71.42,2021-08-03,07:01:01
71.46,2021-08-03,07:05:57
71.5,2021-08-03,07:10:49
71.56,2021-08-03,07:16:00
71.59,2021-08-03,07:21:00
71.64,2021-08-03,07:26:00
71.67,2021-08-03,07:30:49
71.69,2021-08-03,07:35:50
71.63,2021-08-03,07:41:00
71.71,2021-08-03,07:46:01
71.71,2021-08-03,07:51:01
71.69,2021-08-03,07:55:52
71.65,2021-08-03,08:01:01
71.56,2021-08-03,08:05:53
71.61,2021-08-03,08:10:54
71.51,2021-08-03,08:15:58
71.61,2021-08-03,08:21:01
71.51,2021-08-03,08:26:01
71.51,2021-08-03,08:30:57
71.55,2021-08-03,08:36:01
71.48,2021-08-03,08:41:01
71.48,2021-08-03,08:45:56
71.5,2021-08-03,08:50:59
71.44,2021-08-03,08:56:56
71.46,2021-08-03,09:01:02
71.43,2021-08-03,09:05:59
71.44,2021-08-03,09:10:48
71.44,2021-08-03,09:15:57
71.42,2021-08-03,09:20:51
71.42,2021-08-03,09:25:59
71.4,2021-08-03,09:30:56
71.34,2021-08-03,09:36:01
71.25,2021-08-03,09:40:50
71.24,2021-08-03,09:46:00
71.25,2021-08-03,09:51:01
71.24,2021-08-03,09:56:00
71.2,2021-08-03,10:01:01
71.19,2021-08-03,10:06:01
71.29,2021-08-03,10:10:59
71.29,2021-08-03,10:15:58
71.32,2021-08-03,10:21:01
71.32,2021-08-03,10:26:00
71.25,2021-08-03,10:31:01
71.29,2021-08-03,10:35:57
71.29,2021-08-03,10:40:57
71.3,2021-08-03,10:45:59
71.29,2021-08-03,10:50:59
71.3,2021-08-03,10:55:49
71.29,2021-08-03,11:00:50
71.29,2021-08-03,11:05:40
71.23,2021-08-03,11:11:01
71.22,2021-08-03,11:15:54
71.2,2021-08-03,11:21:00
71.16,2021-08-03,11:26:01
71.21,2021-08-03,11:31:02
71.22,2021-08-03,11:35:58
71.23,2021-08-03,11:41:00
71.24,2021-08-03,11:45:59
71.18,2021-08-03,11:52:01
71.2,2021-08-03,11:55:58
71.2,2021-08-03,12:01:00
71.19,2021-08-03,12:06:00
71.29,2021-08-03,12:10:57
71.28,2021-08-03,12:15:53
71.27,2021-08-03,12:20:51
71.28,2021-08-03,12:25:25
71.3,2021-08-03,12:31:00
71.14,2021-08-03,12:36:00
71.09,2021-08-03,12:41:00
71.08,2021-08-03,12:45:59
71.07,2021-08-03,12:51:00
71.11,2021-08-03,12:55:59
71.16,2021-08-03,13:01:01
71.22,2021-08-03,13:05:59
71.19,2021-08-03,13:10:55
71.16,2021-08-03,13:16:00
71.19,2021-08-03,13:21:01
71.15,2021-08-03,13:25:57
71.1,2021-08-03,13:31:01
71.1,2021-08-03,13:35:57
71.04,2021-08-03,13:41:02
71.05,2021-08-03,13:46:00
71.09,2021-08-03,13:51:01
71.05,2021-08-03,13:55:49
71.15,2021-08-03,14:00:53
71.15,2021-08-03,14:06:00
71.03,2021-08-03,14:11:01
71.11,2021-08-03,14:16:01
71.12,2021-08-03,14:21:00
71.03,2021-08-03,14:26:00
71.19,2021-08-03,14:31:00
71.36,2021-08-03,14:36:01
71.47,2021-08-03,14:41:00
71.42,2021-08-03,14:46:00
71.35,2021-08-03,14:51:00
71.39,2021-08-03,14:55:56
71.49,2021-08-03,15:01:00
71.6,2021-08-03,15:05:57
71.54,2021-08-03,15:11:00
71.57,2021-08-03,15:16:00
71.6,2021-08-03,15:21:00
71.59,2021-08-03,15:26:01
71.61,2021-08-03,15:30:59
71.6,2021-08-03,15:35:58
71.63,2021-08-03,15:40:59
71.6,2021-08-03,15:45:57
71.59,2021-08-03,15:51:02
71.57,2021-08-03,15:55:57
71.94,2021-08-03,16:01:01
71.91,2021-08-03,16:06:01
71.83,2021-08-03,16:10:55
71.85,2021-08-03,16:16:00
71.85,2021-08-03,16:21:01
71.72,2021-08-03,16:26:00
71.75,2021-08-03,16:31:01
71.78,2021-08-03,16:35:59
71.84,2021-08-03,16:41:00
71.89,2021-08-03,16:45:57
71.83,2021-08-03,16:51:01
71.83,2021-08-03,16:55:59
71.85,2021-08-03,17:01:01
71.82,2021-08-03,17:05:58
71.69,2021-08-03,17:11:01
71.6,2021-08-03,17:16:01
71.67,2021-08-03,17:21:00
71.63,2021-08-03,17:26:00
71.57,2021-08-03,17:30:52
71.64,2021-08-03,17:36:01
71.67,2021-08-03,17:40:58
71.62,2021-08-03,17:45:59
71.6,2021-08-03,17:50:59
71.58,2021-08-03,17:55:58
71.56,2021-08-03,18:01:00
71.57,2021-08-03,18:06:01
71.53,2021-08-03,18:11:01
71.5,2021-08-03,18:15:57
71.57,2021-08-03,18:21:00
71.6,2021-08-03,18:25:28
71.58,2021-08-03,18:31:01
71.56,2021-08-03,18:35:58
71.43,2021-08-03,18:41:01
71.38,2021-08-03,18:46:02
71.38,2021-08-03,18:51:01
71.36,2021-08-03,18:55:59
71.36,2021-08-03,19:01:00
71.12,2021-08-03,19:06:00
70.86,2021-08-03,19:11:01
70.94,2021-08-03,19:16:01
70.55,2021-08-03,19:21:01
69.95,2021-08-03,19:26:01
70.03,2021-08-03,19:31:01
70.1,2021-08-03,19:36:01
70.08,2021-08-03,19:41:01
69.85,2021-08-03,19:46:01
69.53,2021-08-03,19:51:01
69.67,2021-08-03,19:56:01
69.54,2021-08-03,20:01:01
69.33,2021-08-03,20:06:01
69.34,2021-08-03,20:11:01
69.49,2021-08-03,20:16:01
69.49,2021-08-03,20:21:00
69.5,2021-08-03,20:26:00
69.89,2021-08-03,20:31:01
70.14,2021-08-03,20:36:02
69.65,2021-08-03,20:41:01
69.66,2021-08-03,20:46:01
69.34,2021-08-03,20:51:01
69.46,2021-08-03,20:56:01
69.41,2021-08-03,21:01:01
69.63,2021-08-03,21:06:01
69.87,2021-08-03,21:11:01
69.99,2021-08-03,21:16:01
70.36,2021-08-03,21:21:01
70.3,2021-08-03,21:26:01
70.33,2021-08-03,21:31:01
70.42,2021-08-03,21:36:00
70.24,2021-08-03,21:41:00
70.25,2021-08-03,21:46:00
70.09,2021-08-03,21:51:01
69.89,2021-08-03,21:56:01
69.97,2021-08-03,22:01:02
70.14,2021-08-03,22:06:01
70.32,2021-08-03,22:11:01
70.37,2021-08-03,22:16:00
70.26,2021-08-03,22:21:01
70.38,2021-08-03,22:26:01
70.33,2021-08-03,22:31:01
70.47,2021-08-03,22:36:01
70.47,2021-08-03,22:41:01
70.49,2021-08-03,22:46:01
70.65,2021-08-03,22:51:00
70.79,2021-08-03,22:56:01
70.7,2021-08-03,23:00:59
70.81,2021-08-03,23:06:01
70.79,2021-08-03,23:11:01
70.84,2021-08-03,23:16:01
70.71,2021-08-03,23:21:01
70.68,2021-08-03,23:26:01
70.63,2021-08-03,23:30:57
70.61,2021-08-03,23:36:01
70.57,2021-08-03,23:41:01
70.64,2021-08-03,23:46:00
70.61,2021-08-03,23:51:01
70.58,2021-08-03,23:55:58
70.67,2021-08-04,00:01:00
70.58,2021-08-04,00:05:59
70.57,2021-08-04,00:11:02
70.64,2021-08-04,00:15:57
70.65,2021-08-04,00:21:00
70.69,2021-08-04,00:26:01
70.66,2021-08-04,00:30:57
70.5,2021-08-04,00:36:00
70.36,2021-08-04,00:41:00
70.4,2021-08-04,00:46:01
70.5,2021-08-04,00:51:01
70.57,2021-08-04,00:56:00
70.59,2021-08-04,01:01:00
70.51,2021-08-04,01:05:59
70.47,2021-08-04,01:11:01
70.47,2021-08-04,01:16:01
70.41,2021-08-04,01:20:58
70.43,2021-08-04,01:26:01
70.55,2021-08-04,01:31:00
70.48,2021-08-04,01:36:00
70.6,2021-08-04,01:41:00
70.64,2021-08-04,01:46:00
70.72,2021-08-04,01:50:51
70.71,2021-08-04,01:55:56
70.71,2021-08-04,02:00:52
70.72,2021-08-04,02:06:01
70.7,2021-08-04,02:10:54
70.65,2021-08-04,02:15:57
70.63,2021-08-04,02:20:51
70.63,2021-08-04,02:25:56
70.59,2021-08-04,02:30:56
70.58,2021-08-04,02:36:00
70.62,2021-08-04,02:40:43
70.58,2021-08-04,02:45:57
70.61,2021-08-04,02:50:57
70.63,2021-08-04,02:56:00
70.63,2021-08-04,03:01:00
70.64,2021-08-04,03:06:01
70.62,2021-08-04,03:10:44
70.6,2021-08-04,03:15:51
70.61,2021-08-04,03:21:00
70.59,2021-08-04,03:26:01
70.37,2021-08-04,03:31:00
70.48,2021-08-04,03:36:01
70.42,2021-08-04,03:41:01
70.41,2021-08-04,03:45:59
70.34,2021-08-04,03:51:00
70.29,2021-08-04,03:55:58
70.56,2021-08-04,04:04:00
70.56,2021-08-04,04:27:42
70.42,2021-08-04,05:00:02
70.36,2021-08-04,05:01:00
70.42,2021-08-04,05:06:00
70.35,2021-08-04,05:10:43
70.35,2021-08-04,05:15:50
70.35,2021-08-04,05:20:46
70.32,2021-08-04,05:25:56
70.35,2021-08-04,05:30:59
70.39,2021-08-04,05:36:00
70.43,2021-08-04,05:40:58
70.45,2021-08-04,05:45:59
70.45,2021-08-04,05:50:59
70.42,2021-08-04,05:56:01
70.45,2021-08-04,06:00:58
70.44,2021-08-04,06:05:24
70.45,2021-08-04,06:11:01
70.41,2021-08-04,06:16:01
70.41,2021-08-04,06:20:59
70.38,2021-08-04,06:25:32
70.38,2021-08-04,06:30:55
70.4,2021-08-04,06:35:57
70.44,2021-08-04,06:40:57
70.38,2021-08-04,06:45:53
70.41,2021-08-04,06:51:59
70.37,2021-08-04,06:55:52
70.41,2021-08-04,07:01:01
70.42,2021-08-04,07:05:53
70.4,2021-08-04,07:10:54
70.31,2021-08-04,07:15:52
70.33,2021-08-04,07:20:49
70.34,2021-08-04,07:25:59
70.3,2021-08-04,07:30:41
70.26,2021-08-04,07:35:49
70.26,2021-08-04,07:40:54
70.25,2021-08-04,07:45:53
70.16,2021-08-04,07:50:57
70.16,2021-08-04,07:55:59
70.13,2021-08-04,08:01:00
70.18,2021-08-04,08:06:01
70.27,2021-08-04,08:11:00
70.2,2021-08-04,08:15:58
70.27,2021-08-04,08:20:59
70.24,2021-08-04,08:26:00
70.21,2021-08-04,08:31:00
70.18,2021-08-04,08:35:56
70.16,2021-08-04,08:40:47
70.11,2021-08-04,08:45:54
70.1,2021-08-04,08:51:01
70.18,2021-08-04,08:56:01
70.24,2021-08-04,09:00:58
70.3,2021-08-04,09:06:01
70.3,2021-08-04,09:10:59
70.31,2021-08-04,09:15:48
70.28,2021-08-04,09:21:01
70.32,2021-08-04,09:25:58
70.26,2021-08-04,09:31:00
70.31,2021-08-04,09:36:00
70.32,2021-08-04,09:41:01
70.43,2021-08-04,09:46:01
70.43,2021-08-04,09:51:00
70.39,2021-08-04,09:55:57
70.39,2021-08-04,10:01:00
70.44,2021-08-04,10:05:58
70.41,2021-08-04,10:10:52
70.44,2021-08-04,10:16:00
70.5,2021-08-04,10:20:58
70.47,2021-08-04,10:25:58
70.45,2021-08-04,10:30:59
70.41,2021-08-04,10:35:55
70.41,2021-08-04,10:40:53
70.42,2021-08-04,10:45:59
70.45,2021-08-04,10:50:47
70.5,2021-08-04,10:56:00
70.48,2021-08-04,11:00:56
70.48,2021-08-04,11:05:55
70.46,2021-08-04,11:11:01
70.46,2021-08-04,11:15:45
70.45,2021-08-04,11:20:59
70.43,2021-08-04,11:25:47
70.43,2021-08-04,11:30:40
70.51,2021-08-04,11:35:58
70.5,2021-08-04,11:40:24
70.5,2021-08-04,11:46:01
70.46,2021-08-04,11:50:58
70.49,2021-08-04,11:55:42
70.46,2021-08-04,12:01:01
70.4,2021-08-04,12:06:01
70.35,2021-08-04,12:10:55
70.38,2021-08-04,12:16:00
70.4,2021-08-04,12:21:00
70.39,2021-08-04,12:25:47
70.42,2021-08-04,12:31:01
70.39,2021-08-04,12:35:57
70.32,2021-08-04,12:41:01
70.33,2021-08-04,12:46:01
70.33,2021-08-04,12:51:01
70.36,2021-08-04,12:56:00
70.35,2021-08-04,13:01:00
70.33,2021-08-04,13:05:57
70.36,2021-08-04,13:11:01
70.47,2021-08-04,13:15:59
70.47,2021-08-04,13:20:57
70.47,2021-08-04,13:25:58
70.41,2021-08-04,13:31:01
70.43,2021-08-04,13:35:59
70.47,2021-08-04,13:40:56
70.46,2021-08-04,13:45:59
70.44,2021-08-04,13:50:59
70.41,2021-08-04,13:56:01
70.31,2021-08-04,14:01:01
70.3,2021-08-04,14:06:00
70.28,2021-08-04,14:11:00
70.21,2021-08-04,14:15:59
70.26,2021-08-04,14:20:59
70.33,2021-08-04,14:26:01
70.34,2021-08-04,14:31:01
70.49,2021-08-04,14:36:01
70.62,2021-08-04,14:41:00
70.68,2021-08-04,14:46:01
70.68,2021-08-04,14:51:00
70.7,2021-08-04,14:55:59
70.62,2021-08-04,15:01:00
70.66,2021-08-04,15:06:00
70.68,2021-08-04,15:11:00
70.74,2021-08-04,15:16:00
70.64,2021-08-04,15:21:01
70.69,2021-08-04,15:25:59
70.59,2021-08-04,15:31:00
70.53,2021-08-04,15:36:00
70.54,2021-08-04,15:40:59
70.57,2021-08-04,15:45:57
70.3,2021-08-04,15:51:01
70.4,2021-08-04,15:55:59
70.36,2021-08-04,16:01:00
70.48,2021-08-04,16:05:59
70.5,2021-08-04,16:11:00
70.43,2021-08-04,16:16:01
70.32,2021-08-04,16:20:58
70.25,2021-08-04,16:25:59
70.28,2021-08-04,16:31:01
70.26,2021-08-04,16:36:00
70.34,2021-08-04,16:41:01
70.35,2021-08-04,16:45:51
70.32,2021-08-04,16:51:00
70.37,2021-08-04,16:56:00
70.35,2021-08-04,17:01:00
70.27,2021-08-04,17:06:01
70.17,2021-08-04,17:10:57
70.12,2021-08-04,17:16:01
70.15,2021-08-04,17:20:56
70.14,2021-08-04,17:26:01
70.14,2021-08-04,17:31:00
70.17,2021-08-04,17:35:54
70.21,2021-08-04,17:40:58
70.23,2021-08-04,17:45:56
70.27,2021-08-04,17:51:01
70.29,2021-08-04,17:55:59
70.19,2021-08-04,18:00:58
69.9,2021-08-04,18:06:01
69.63,2021-08-04,18:11:01
69.75,2021-08-04,18:16:02
69.8,2021-08-04,18:21:00
69.8,2021-08-04,18:26:01
69.77,2021-08-04,18:31:01
69.8,2021-08-04,18:35:59
69.78,2021-08-04,18:40:55
69.51,2021-08-04,18:46:01
69.51,2021-08-04,18:51:01
69.4,2021-08-04,18:55:59
69.11,2021-08-04,19:01:01
69.31,2021-08-04,19:05:56
69.42,2021-08-04,19:11:00
69.49,2021-08-04,19:16:00
69.28,2021-08-04,19:21:01
69.32,2021-08-04,19:26:01
69.28,2021-08-04,19:31:00
69.29,2021-08-04,19:36:01
69.32,2021-08-04,19:41:00
69.24,2021-08-04,19:46:01
69.17,2021-08-04,19:51:01
69.06,2021-08-04,19:56:01
69.22,2021-08-04,20:01:01
68.98,2021-08-04,20:06:01
68.91,2021-08-04,20:11:01
68.76,2021-08-04,20:16:01
68.6,2021-08-04,20:21:01
68.49,2021-08-04,20:26:01
68.42,2021-08-04,20:31:01
68.49,2021-08-04,20:36:01
68.27,2021-08-04,20:41:01
68.29,2021-08-04,20:46:01
68.66,2021-08-04,20:51:01
68.76,2021-08-04,20:56:01
68.83,2021-08-04,21:01:01
69.05,2021-08-04,21:06:01
69.08,2021-08-04,21:11:00
69.27,2021-08-04,21:16:01
69.09,2021-08-04,21:21:01
69.05,2021-08-04,21:26:01
68.76,2021-08-04,21:31:01
68.83,2021-08-04,21:36:01
69.27,2021-08-04,21:41:01
68.96,2021-08-04,21:46:01
69.2,2021-08-04,21:51:01
68.95,2021-08-04,21:56:01
69.04,2021-08-04,22:01:00
69.19,2021-08-04,22:06:01
69.04,2021-08-04,22:11:00
69.13,2021-08-04,22:16:01
68.97,2021-08-04,22:21:01
68.92,2021-08-04,22:26:01
68.9,2021-08-04,22:31:01
68.41,2021-08-04,22:36:01
68.2,2021-08-04,22:41:01
68.12,2021-08-04,22:46:01
68.08,2021-08-04,22:51:01
68.15,2021-08-04,22:56:01
68.02,2021-08-04,23:01:01
68.22,2021-08-04,23:06:01
68.34,2021-08-04,23:11:00
68.45,2021-08-04,23:16:01
68.39,2021-08-04,23:21:01
68.28,2021-08-04,23:26:00
68.16,2021-08-04,23:31:01
68.13,2021-08-04,23:36:01
68.12,2021-08-04,23:41:00
68.08,2021-08-04,23:46:00
68.06,2021-08-04,23:51:01
67.9,2021-08-04,23:56:01
68.06,2021-08-05,00:01:00
68.27,2021-08-05,00:06:01
68.39,2021-08-05,00:11:01
68.44,2021-08-05,00:16:01
68.46,2021-08-05,00:21:00
68.41,2021-08-05,00:26:00
68.38,2021-08-05,00:31:00
68.39,2021-08-05,00:36:01
68.29,2021-08-05,00:40:59
68.31,2021-08-05,00:46:01
68.36,2021-08-05,00:51:01
68.41,2021-08-05,00:56:00
68.39,2021-08-05,01:01:01
68.31,2021-08-05,01:06:00
68.32,2021-08-05,01:11:01
68.34,2021-08-05,01:16:01
68.39,2021-08-05,01:21:00
68.32,2021-08-05,01:26:01
68.22,2021-08-05,01:31:01
68.18,2021-08-05,01:36:00
68.1,2021-08-05,01:40:56
68.06,2021-08-05,01:46:01
68.03,2021-08-05,01:51:00
67.97,2021-08-05,01:55:55
67.97,2021-08-05,02:01:00
67.99,2021-08-05,02:06:00
67.99,2021-08-05,02:11:01
67.96,2021-08-05,02:16:00
67.93,2021-08-05,02:21:01
67.92,2021-08-05,02:25:56
67.91,2021-08-05,02:31:00
67.99,2021-08-05,02:35:58
68.07,2021-08-05,02:41:01
